LinguisticVariant	Concept_name	Concept_description	Risk_name	Risk_description	ConsumerProtectionMeasure_name	ConsumerProtectionMeasure_description	ActionableForesight_name	ActionableForesight_description	ConsumerProtectionPrinciples
execution delay	Governance execution-control register	Refers to temporal controls that affect whether governance proposals can be reviewed before execution.	GovernanceExecutionRisk	Risk that insufficient execution delay prevents review, challenge, or mitigation before proposal execution.	ExecutionDelayDisclosure; ProposalReviewWindow; GovernanceAlert	Disclose execution-delay rules; Provide time for review or challenge before execution; Alert users about imminent governance execution	ProposalExecutionMonitoring; DelayAdequacyAssessment; PreExecutionRiskFlag	Track proposals approaching execution; Assess whether delay is sufficient; Flag risky proposals before execution	1. Legal, Regulatory and Supervisory Framework; 2. Role of Oversight Bodies; 7. Disclosure and Transparency; 9. Responsible Business Conduct and Culture of Financial Services Providers and Intermediaries
exit liquidity	Fraud accusation frame	Accuses or implies that users are being used as liquidity for insiders or early sellers.	RugPullRisk	Risk that insiders or malicious actors abandon a project, remove liquidity, or use consumers as exit liquidity.	FraudWarning; LiquidityLockDisclosure; ConsumerAlert	Warn about exit-liquidity and abandonment patterns; Disclose liquidity-lock and team-control conditions; Alert consumers about suspected rug-pull indicators	RugPullSignalDetection; InsiderExitMonitoring; LiquidityWithdrawalAlert	Detect rug-pull discourse and on-chain patterns; Monitor insider exits; Alert on sudden liquidity withdrawal	4. Financial Literacy and Awareness; 7. Disclosure and Transparency; 10. Protection of Consumer Assets against Fraud, Scams and Misuse; 12. Complaints Handling and Redress
fake token	Scam-token deception frame	Signals impersonation or deceptive token creation causing consumer confusion or loss.	ScamTokenRisk	Risk that deceptive or impersonating tokens mislead consumers and cause financial loss.	TokenIdentityWarning; ScamTokenAlert; VerificationGuidance	Warn users about impersonating tokens; Alert consumers to deceptive token listings; Guide verification of token address and issuer	ImpersonationMonitoring; TokenListingRiskScreening; ScamNarrativeTracking	Monitor fake-token narratives; Screen listings for impersonation risk; Track scam reports across platforms	4. Financial Literacy and Awareness; 7. Disclosure and Transparency; 10. Protection of Consumer Assets against Fraud, Scams and Misuse
front-run	MEV fairness frame	Frames adverse execution caused by transaction ordering before the victim transaction.	FrontRunningRisk	Risk that an attacker uses transaction ordering to execute before a consumer and worsen the consumer outcome.	ExecutionQualityWarning; FairnessMonitoring; SlippageProtection	Warn users about adverse transaction ordering; Monitor fairness of transaction execution; Encourage protective slippage and routing settings	FrontRunningDetection; ExecutionQualityBenchmarking; PrivateOrderflowAssessment	Detect front-running patterns; Compare execution quality across routes; Assess whether private routing reduces harm	5. Competition; 6. Equitable and Fair Treatment of Consumers; 7. Disclosure and Transparency; 9. Responsible Business Conduct and Culture of Financial Services Providers and Intermediaries
GHO depeg	Stablecoin crisis alarm	Specific depeg signal involving Aave’s GHO stablecoin.	StablecoinDepegRisk	Risk that a stable or synthetic asset loses parity with its reference asset, reducing user value and confidence.	PegRiskDisclosure; CrisisCommunication; RedemptionInformation	Explain peg instability and possible losses; Communicate during depeg stress; Inform users about exits, redemption, and liquidity conditions	PegStabilityMonitoring; LiquidityStressSignal; DepegContagionAssessment	Monitor price deviations from peg; Detect liquidity stress around stable assets; Assess cross-protocol contagion risk	4. Financial Literacy and Awareness; 7. Disclosure and Transparency; 8. Quality Financial Products; 10. Protection of Consumer Assets against Fraud, Scams and Misuse; 12. Complaints Handling and Redress
governance attack	Governance-attack frame	Frames governance mechanisms as the vector of an attack or hostile takeover.	GovernanceAttackRisk	Risk that governance mechanisms are exploited through hostile proposals or takeover strategies.	MaliciousProposalWarning; GovernanceSecurityReview; ExecutionDelayControl	Warn about hostile governance proposals; Review governance attack vectors; Use delay controls to allow mitigation before execution	GovernanceAttackMonitoring; ProposalRiskScoring; DefenseReadinessAssessment	Monitor attack-like proposals; Score proposal risk before voting; Assess readiness for emergency response	1. Legal, Regulatory and Supervisory Framework; 2. Role of Oversight Bodies; 7. Disclosure and Transparency; 9. Responsible Business Conduct and Culture of Financial Services Providers and Intermediaries; 10. Protection of Consumer Assets against Fraud, Scams and Misuse
governance proposal	Governance deliberation register	Technical-governance term referring to formal protocol decision proposals.	GovernanceDecisionRisk	Risk that formal governance proposals lead to harmful decisions due to information gaps or poor deliberation.	GovernanceRiskDisclosure; DeliberationSupport; VoterInformation	Disclose risks and trade-offs in proposals; Support informed deliberation; Provide concise information to voters and affected users	ProposalImpactAssessment; GovernanceSentimentMonitoring; DecisionQualityReview	Assess proposal impact before voting; Monitor community disagreement signals; Review decision quality after implementation	1. Legal, Regulatory and Supervisory Framework; 2. Role of Oversight Bodies; 7. Disclosure and Transparency; 9. Responsible Business Conduct and Culture of Financial Services Providers and Intermediaries
health factor	Liquidation technical register	Aave technical metric expressing liquidation risk of a borrowing position.	ForcedLiquidationRisk	Risk that an undercollateralized borrowing position is automatically closed, causing asset loss or penalties.	LiquidationRiskDisclosure; CollateralHealthWarning; SuitabilityWarning	Explain liquidation mechanics and penalties; Warn when collateral position approaches unsafe thresholds; Assess whether borrowing exposure fits user risk profile	LiquidationThresholdMonitoring; CollateralStressTesting; DeleveragingSignal	Monitor positions near liquidation; Simulate collateral price shocks; Suggest debt repayment or collateral reinforcement decisions	4. Financial Literacy and Awareness; 6. Equitable and Fair Treatment of Consumers; 7. Disclosure and Transparency; 8. Quality Financial Products; 9. Responsible Business Conduct and Culture of Financial Services Providers and Intermediaries
healthy positions liquidated	Protocol-failure blame frame	Frames liquidation as protocol or system failure rather than normal risk realization.	ProtocolFailureRisk	Risk that protocol design, parameters, or system behavior causes consumer losses not attributable to external hacking.	TechnicalExplanation; IncidentCommunication; SupportTriage	Explain protocol behavior and failure modes; Communicate incidents and affected users; Route users to support and resolution channels	ProtocolFailureMonitoring; RootCausePrioritization; ConsumerImpactAssessment	Track failure reports and anomalies; Prioritize root-cause analysis; Estimate consumer harm and remediation needs	7. Disclosure and Transparency; 10. Protection of Consumer Assets against Fraud, Scams and Misuse; 12. Complaints Handling and Redress
high-risk play	Speculative identity marker	Marks high-risk speculative positioning.	SpeculativeDecisionRisk	Risk that consumers enter high-risk positions impulsively due to hype, FOMO, or group identity.	PlainLanguageRiskExplanation; SuitabilityWarning; DigitalFinancialLiteracy	Explain speculative risk in simple language; Warn users before high-risk or hype-driven entry; Educate users about FOMO and leveraged speculation	HypeSignalMonitoring; SuitabilityRiskScoring; ConsumerDecisionNudge	Monitor discourse and flows for hype/FOMO signals; Score products or pools by suitability risk; Suggest safer decision prompts before entry	4. Financial Literacy and Awareness; 6. Equitable and Fair Treatment of Consumers; 7. Disclosure and Transparency; 8. Quality Financial Products; 9. Responsible Business Conduct and Culture of Financial Services Providers and Intermediaries
impermanent loss	Impermanent-loss comprehension gap	Technical liquidity-provision risk that is often misunderstood by consumers.	ImpermanentLossRisk	Risk that liquidity providers underperform simple holding when pooled asset prices diverge.	ImpermanentLossExplanation; LiquidityProvisionWarning; YieldDisclosure	Explain divergence loss in plain language; Warn liquidity providers about price-divergence risk; Disclose that fees may not offset relative loss	PoolRiskBenchmarking; DivergenceLossSimulation; LPStrategyReview	Compare pools by impermanent-loss exposure; Simulate price-divergence scenarios; Review whether LP strategy remains adequate	4. Financial Literacy and Awareness; 7. Disclosure and Transparency; 8. Quality Financial Products; 9. Responsible Business Conduct and Culture of Financial Services Providers and Intermediaries
isolation mode	Collateral-risk constraint register	Technical Aave risk-control mode limiting exposure from certain collateral assets.	CollateralConstraintRisk	Risk that collateral restrictions or isolation rules limit user flexibility and increase liquidation or liquidity exposure.	CollateralConstraintDisclosure; PositionRiskWarning; LiquidityExitGuidance	Explain restrictions of collateral modes; Warn users about reduced flexibility and liquidation exposure; Guide users on exits or position adjustment	CollateralConstraintMonitoring; IsolationModeRiskBenchmark; ExitFeasibilityAssessment	Monitor restricted collateral exposure; Compare isolation-mode risk; Assess whether users can exit positions safely	4. Financial Literacy and Awareness; 7. Disclosure and Transparency; 8. Quality Financial Products; 9. Responsible Business Conduct and Culture of Financial Services Providers and Intermediaries
liquidation	Liquidation technical register	Core technical term for forced closure/repayment of undercollateralized positions.	ForcedLiquidationRisk	Risk that an undercollateralized borrowing position is automatically closed, causing asset loss or penalties.	LiquidationRiskDisclosure; CollateralHealthWarning; SuitabilityWarning	Explain liquidation mechanics and penalties; Warn when collateral position approaches unsafe thresholds; Assess whether borrowing exposure fits user risk profile	LiquidationThresholdMonitoring; CollateralStressTesting; DeleveragingSignal	Monitor positions near liquidation; Simulate collateral price shocks; Suggest debt repayment or collateral reinforcement decisions	4. Financial Literacy and Awareness; 6. Equitable and Fair Treatment of Consumers; 7. Disclosure and Transparency; 8. Quality Financial Products; 9. Responsible Business Conduct and Culture of Financial Services Providers and Intermediaries
liquidation threshold	Liquidation technical register	Risk parameter indicating when collateral can trigger liquidation.	ForcedLiquidationRisk	Risk that an undercollateralized borrowing position is automatically closed, causing asset loss or penalties.	LiquidationRiskDisclosure; CollateralHealthWarning; SuitabilityWarning	Explain liquidation mechanics and penalties; Warn when collateral position approaches unsafe thresholds; Assess whether borrowing exposure fits user risk profile	LiquidationThresholdMonitoring; CollateralStressTesting; DeleveragingSignal	Monitor positions near liquidation; Simulate collateral price shocks; Suggest debt repayment or collateral reinforcement decisions	4. Financial Literacy and Awareness; 6. Equitable and Fair Treatment of Consumers; 7. Disclosure and Transparency; 8. Quality Financial Products; 9. Responsible Business Conduct and Culture of Financial Services Providers and Intermediaries
liquidity removal	Contract and transaction rug-pull pattern	Pattern associated with rug-pull mechanics through removal of pool liquidity.	LiquidityRemovalRisk	Risk that pool liquidity is removed or manipulated, preventing exits or causing severe price losses.	LiquidityRiskDisclosure; ExitWarning; PoolTransparency	Disclose pool liquidity and withdrawal risks; Warn users when exits may be impaired; Show liquidity concentration and removal patterns	LiquidityWithdrawalMonitoring; ExitLiquidityBenchmarking; PoolStressAlert	Monitor sudden liquidity removals; Compare exit liquidity across pools; Alert on pool stress conditions	5. Competition; 7. Disclosure and Transparency; 8. Quality Financial Products; 9. Responsible Business Conduct and Culture of Financial Services Providers and Intermediaries
loan-to-value	Liquidation technical register	Credit-risk parameter expressing borrowing capacity relative to collateral value.	ForcedLiquidationRisk	Risk that an undercollateralized borrowing position is automatically closed, causing asset loss or penalties.	LiquidationRiskDisclosure; CollateralHealthWarning; SuitabilityWarning	Explain liquidation mechanics and penalties; Warn when collateral position approaches unsafe thresholds; Assess whether borrowing exposure fits user risk profile	LiquidationThresholdMonitoring; CollateralStressTesting; DeleveragingSignal	Monitor positions near liquidation; Simulate collateral price shocks; Suggest debt repayment or collateral reinforcement decisions	4. Financial Literacy and Awareness; 6. Equitable and Fair Treatment of Consumers; 7. Disclosure and Transparency; 8. Quality Financial Products; 9. Responsible Business Conduct and Culture of Financial Services Providers and Intermediaries
LTV	Liquidation technical register	Abbreviation for loan-to-value, a core borrowing and liquidation risk parameter.	ForcedLiquidationRisk	Risk that an undercollateralized borrowing position is automatically closed, causing asset loss or penalties.	LiquidationRiskDisclosure; CollateralHealthWarning; SuitabilityWarning	Explain liquidation mechanics and penalties; Warn when collateral position approaches unsafe thresholds; Assess whether borrowing exposure fits user risk profile	LiquidationThresholdMonitoring; CollateralStressTesting; DeleveragingSignal	Monitor positions near liquidation; Simulate collateral price shocks; Suggest debt repayment or collateral reinforcement decisions	4. Financial Literacy and Awareness; 6. Equitable and Fair Treatment of Consumers; 7. Disclosure and Transparency; 8. Quality Financial Products; 9. Responsible Business Conduct and Culture of Financial Services Providers and Intermediaries
malicious proposal	Governance-attack frame	Frames a governance proposal as hostile or designed to exploit governance mechanisms.	GovernanceAttackRisk	Risk that governance mechanisms are exploited through hostile proposals or takeover strategies.	MaliciousProposalWarning; GovernanceSecurityReview; ExecutionDelayControl	Warn about hostile governance proposals; Review governance attack vectors; Use delay controls to allow mitigation before execution	GovernanceAttackMonitoring; ProposalRiskScoring; DefenseReadinessAssessment	Monitor attack-like proposals; Score proposal risk before voting; Assess readiness for emergency response	1. Legal, Regulatory and Supervisory Framework; 2. Role of Oversight Bodies; 7. Disclosure and Transparency; 9. Responsible Business Conduct and Culture of Financial Services Providers and Intermediaries; 10. Protection of Consumer Assets against Fraud, Scams and Misuse
MEV	MEV fairness frame	Frames value extraction through transaction ordering, insertion, censorship, or priority.	MEVExtractionRisk	Risk that transaction ordering, insertion, censorship, or priority mechanisms extract value from consumers.	ExecutionQualityWarning; FairnessMonitoring; MEVRiskDisclosure	Warn users about MEV-related value extraction; Monitor unfair execution patterns; Explain MEV risks in transaction sequencing	MEVExposureMonitoring; ExecutionRouteBenchmarking; FairnessRiskAssessment	Track MEV exposure across transactions; Compare routes by MEV risk; Assess fairness implications for retail users	5. Competition; 6. Equitable and Fair Treatment of Consumers; 7. Disclosure and Transparency; 9. Responsible Business Conduct and Culture of Financial Services Providers and Intermediaries
not by a hacker	Protocol-failure blame frame	Shifts interpretation away from external attacker toward protocol/system design responsibility.	ProtocolFailureRisk	Risk that protocol design, parameters, or system behavior causes consumer losses not attributable to external hacking.	TechnicalExplanation; IncidentCommunication; SupportTriage	Explain protocol behavior and failure modes; Communicate incidents and affected users; Route users to support and resolution channels	ProtocolFailureMonitoring; RootCausePrioritization; ConsumerImpactAssessment	Track failure reports and anomalies; Prioritize root-cause analysis; Estimate consumer harm and remediation needs	7. Disclosure and Transparency; 10. Protection of Consumer Assets against Fraud, Scams and Misuse; 12. Complaints Handling and Redress
oracle	Oracle-dependence risk register	Technical term for external price/data feeds whose failure may affect protocol outcomes.	OracleFailureRisk	Risk that incorrect, delayed, or manipulated price data triggers mispricing, losses, or liquidations.	OracleRiskDisclosure; PriceFeedMonitoring; LiquidationWarning	Explain reliance on external price feeds; Monitor oracle delays or anomalies; Warn users when oracle issues may trigger losses	OracleAnomalyDetection; PriceFeedReliabilityBenchmark; LiquidationCascadeForecast	Detect abnormal price-feed behavior; Compare oracle reliability; Forecast potential liquidation cascades	7. Disclosure and Transparency; 8. Quality Financial Products; 9. Responsible Business Conduct and Culture of Financial Services Providers and Intermediaries; 10. Protection of Consumer Assets against Fraud, Scams and Misuse
permit	Token-approval risk register	Authorization mechanism that can affect consumer exposure to signing/approval risks.	MaliciousApprovalRisk	Risk that token permissions or signatures enable unauthorized or excessive asset transfers.	ApprovalWarning; PermissionReview; RevocationSupport	Warn users about token permissions before signing; Show scope and duration of approvals; Help users revoke unsafe approvals	ApprovalRiskMonitoring; UnsafeContractScreening; WalletSafetyAlert	Track abnormal approval patterns; Screen contracts for excessive permissions; Alert users and ecosystem actors about unsafe signing flows	4. Financial Literacy and Awareness; 7. Disclosure and Transparency; 10. Protection of Consumer Assets against Fraud, Scams and Misuse; 12. Complaints Handling and Redress
Permit2	Token-approval risk register	Specific approval/permit mechanism relevant to token authorization and potential misuse.	MaliciousApprovalRisk	Risk that token permissions or signatures enable unauthorized or excessive asset transfers.	ApprovalWarning; PermissionReview; RevocationSupport	Warn users about token permissions before signing; Show scope and duration of approvals; Help users revoke unsafe approvals	ApprovalRiskMonitoring; UnsafeContractScreening; WalletSafetyAlert	Track abnormal approval patterns; Screen contracts for excessive permissions; Alert users and ecosystem actors about unsafe signing flows	4. Financial Literacy and Awareness; 7. Disclosure and Transparency; 10. Protection of Consumer Assets against Fraud, Scams and Misuse; 12. Complaints Handling and Redress
price impact	Execution-quality register	Transaction-execution term indicating price movement caused by the user’s own trade size/liquidity.	PriceImpactRisk	Risk that a consumer's trade size moves market price and produces worse execution.	PriceImpactWarning; TradeSizeDisclosure; RoutingGuidance	Warn users when trade size may move price; Disclose expected price impact before execution; Guide users toward safer routing or order splitting	ExecutionCostBenchmarking; LiquidityDepthMonitoring; TradeSizingRecommendation	Compare implicit execution costs; Monitor liquidity depth; Suggest trade sizing to reduce adverse impact	5. Competition; 6. Equitable and Fair Treatment of Consumers; 7. Disclosure and Transparency; 9. Responsible Business Conduct and Culture of Financial Services Providers and Intermediaries
price oracle	Oracle-dependence risk register	Price-data source whose failure or manipulation can trigger losses, liquidations, or mispricing.	OracleFailureRisk	Risk that incorrect, delayed, or manipulated price data triggers mispricing, losses, or liquidations.	OracleRiskDisclosure; PriceFeedMonitoring; LiquidationWarning	Explain reliance on external price feeds; Monitor oracle delays or anomalies; Warn users when oracle issues may trigger losses	OracleAnomalyDetection; PriceFeedReliabilityBenchmark; LiquidationCascadeForecast	Detect abnormal price-feed behavior; Compare oracle reliability; Forecast potential liquidation cascades	7. Disclosure and Transparency; 8. Quality Financial Products; 9. Responsible Business Conduct and Culture of Financial Services Providers and Intermediaries; 10. Protection of Consumer Assets against Fraud, Scams and Misuse
risk parameters	Protocol-risk parameter register	Technical governance/risk-management terms defining protocol exposures.	RiskParameterMisconfigurationRisk	Risk that protocol parameters misstate or amplify exposure to liquidation, liquidity, or market stress.	RiskParameterDisclosure; GovernanceRiskReview; ParameterChangeAlert	Disclose protocol parameters and implications; Review governance changes to risk settings; Alert users to parameter updates affecting exposure	ParameterStressTesting; ParameterChangeMonitoring; ProtocolRiskBenchmarking	Stress-test parameter choices; Monitor parameter changes; Compare protocol risk configurations	1. Legal, Regulatory and Supervisory Framework; 2. Role of Oversight Bodies; 7. Disclosure and Transparency; 9. Responsible Business Conduct and Culture of Financial Services Providers and Intermediaries
rug pull	Fraud accusation frame	Accusation frame for alleged insider exit, fraud, or abandonment.	RugPullRisk	Risk that insiders or malicious actors abandon a project, remove liquidity, or use consumers as exit liquidity.	FraudWarning; LiquidityLockDisclosure; ConsumerAlert	Warn about exit-liquidity and abandonment patterns; Disclose liquidity-lock and team-control conditions; Alert consumers about suspected rug-pull indicators	RugPullSignalDetection; InsiderExitMonitoring; LiquidityWithdrawalAlert	Detect rug-pull discourse and on-chain patterns; Monitor insider exits; Alert on sudden liquidity withdrawal	4. Financial Literacy and Awareness; 7. Disclosure and Transparency; 10. Protection of Consumer Assets against Fraud, Scams and Misuse; 12. Complaints Handling and Redress
sandwich	MEV fairness frame	Specific MEV pattern placing victim transaction between attacker transactions.	SandwichAttackRisk	Risk that a consumer transaction is surrounded by attacker trades, causing adverse price execution.	SandwichWarning; SlippageProtection; FairnessMonitoring	Warn users about sandwich attack exposure; Encourage protective slippage settings; Monitor adverse execution caused by attacker trades	SandwichPatternDetection; ExecutionQualityBenchmarking; MEVProtectionAssessment	Detect sandwich patterns; Compare quality of execution across venues; Assess effectiveness of MEV-protection tools	5. Competition; 6. Equitable and Fair Treatment of Consumers; 7. Disclosure and Transparency; 9. Responsible Business Conduct and Culture of Financial Services Providers and Intermediaries; 10. Protection of Consumer Assets against Fraud, Scams and Misuse
scam token	Scam-token deception frame	Frames a token as deceptive, fraudulent, or impersonating legitimacy.	ScamTokenRisk	Risk that deceptive or impersonating tokens mislead consumers and cause financial loss.	TokenIdentityWarning; ScamTokenAlert; VerificationGuidance	Warn users about impersonating tokens; Alert consumers to deceptive token listings; Guide verification of token address and issuer	ImpersonationMonitoring; TokenListingRiskScreening; ScamNarrativeTracking	Monitor fake-token narratives; Screen listings for impersonation risk; Track scam reports across platforms	4. Financial Literacy and Awareness; 7. Disclosure and Transparency; 10. Protection of Consumer Assets against Fraud, Scams and Misuse
slippage	Execution-quality register	Execution-quality term for difference between expected and actual transaction price.	SlippageRisk	Risk that the executed transaction price differs materially from the expected price.	SlippageWarning; ExpectedPriceDisclosure; TransactionPreview	Warn when expected and executed prices may diverge; Disclose expected execution range; Preview transaction outcomes before signing	SlippageMonitoring; RouteQualityBenchmarking; ExecutionRiskAlert	Monitor realized slippage; Compare routes by execution quality; Alert users to high execution risk	5. Competition; 6. Equitable and Fair Treatment of Consumers; 7. Disclosure and Transparency; 9. Responsible Business Conduct and Culture of Financial Services Providers and Intermediaries
token approvals	Harmed-user wallet-loss narrative	Common narrative element in wallet loss involving permissions granted to contracts.	WalletDrainRisk	Risk of user asset loss through phishing, malicious approvals, compromised keys, or unsafe interfaces.	SecurityWarning; SupportTriage; IncidentGuidance	Warn about phishing, unsafe approvals, and key compromise; Route harmed users to support and evidence collection; Provide incident-response guidance	WalletDrainClusterDetection; PhishingCampaignMonitoring; ConsumerHarmEscalation	Detect clusters of wallet-loss reports; Monitor suspected phishing campaigns; Escalate repeated consumer harm for investigation	4. Financial Literacy and Awareness; 7. Disclosure and Transparency; 10. Protection of Consumer Assets against Fraud, Scams and Misuse; 12. Complaints Handling and Redress
